threshold, compression, accuracy
0.0, 0.0, 0.9879
0.0526315789474, 0.267, 0.9878
0.105263157895, 0.5002, 0.9872
0.157894736842, 0.6794, 0.9883
0.210526315789, 0.8108, 0.9854
0.263157894737, 0.8984, 0.9691
0.315789473684, 0.9456, 0.8936
0.368421052632, 0.9744, 0.774
0.421052631579, 0.9886, 0.4582
0.473684210526, 0.995, 0.258
0.526315789474, 0.9976, 0.2093
0.578947368421, 0.9992, 0.1179
0.631578947368, 0.9998, 0.1149
0.684210526316, 1.0, 0.0371
0.736842105263, 1.0, 0.0358
0.789473684211, 1.0, 0.0384
0.842105263158, 1.0, 0.0358
0.894736842105, 1.0, 0.0394
0.947368421053, 1.0, 0.0392
1.0, 1.0, 0.0374
