threshold, compression, accuracy
0.0, 0.0, 0.9871
0.010101010101, 0.0496, 0.9882
0.020202020202, 0.1054, 0.9883
0.030303030303, 0.1642, 0.9884
0.040404040404, 0.2212, 0.9879
0.0505050505051, 0.2734, 0.9881
0.0606060606061, 0.3214, 0.9872
0.0707070707071, 0.3692, 0.9867
0.0808080808081, 0.4144, 0.9871
0.0909090909091, 0.457, 0.9877
0.10101010101, 0.5052, 0.9884
0.111111111111, 0.5468, 0.9873
0.121212121212, 0.5836, 0.9875
0.131313131313, 0.621, 0.987
0.141414141414, 0.6574, 0.9873
0.151515151515, 0.6914, 0.9867
0.161616161616, 0.7224, 0.987
0.171717171717, 0.744, 0.9857
0.181818181818, 0.7706, 0.9865
0.191919191919, 0.7944, 0.9857
0.20202020202, 0.8152, 0.9853
0.212121212121, 0.8348, 0.9835
0.222222222222, 0.854, 0.9745
0.232323232323, 0.8726, 0.9784
0.242424242424, 0.8898, 0.978
0.252525252525, 0.9016, 0.9706
0.262626262626, 0.9158, 0.9274
0.272727272727, 0.9294, 0.8927
0.282828282828, 0.94, 0.8589
0.292929292929, 0.946, 0.7853
0.30303030303, 0.9534, 0.7857
0.313131313131, 0.9612, 0.723
0.323232323232, 0.9656, 0.6822
0.333333333333, 0.971, 0.6326
0.343434343434, 0.976, 0.6035
0.353535353535, 0.9788, 0.4853
0.363636363636, 0.9828, 0.3863
0.373737373737, 0.9848, 0.3587
0.383838383838, 0.9882, 0.3344
0.393939393939, 0.9902, 0.3158
0.40404040404, 0.9912, 0.2886
0.414141414141, 0.9938, 0.1734
0.424242424242, 0.9938, 0.1736
0.434343434343, 0.995, 0.0769
0.444444444444, 0.9958, 0.073
0.454545454545, 0.9964, 0.0703
0.464646464646, 0.9978, 0.0553
0.474747474747, 0.9988, 0.0434
0.484848484848, 0.9988, 0.0475
0.494949494949, 0.999, 0.0445
0.505050505051, 0.999, 0.044
0.515151515152, 0.999, 0.0465
0.525252525253, 0.999, 0.0449
0.535353535354, 0.9992, 0.04
0.545454545455, 0.9992, 0.0407
0.555555555556, 0.9994, 0.028
0.565656565657, 0.9994, 0.026
0.575757575758, 0.9996, 0.0246
0.585858585859, 1.0, 0.0194
0.59595959596, 1.0, 0.0207
0.606060606061, 1.0, 0.0223
0.616161616162, 1.0, 0.021
0.626262626263, 1.0, 0.0201
0.636363636364, 1.0, 0.0227
0.646464646465, 1.0, 0.0203
0.656565656566, 1.0, 0.0198
0.666666666667, 1.0, 0.0194
0.676767676768, 1.0, 0.022
0.686868686869, 1.0, 0.0223
0.69696969697, 1.0, 0.0189
0.707070707071, 1.0, 0.0223
0.717171717172, 1.0, 0.0198
0.727272727273, 1.0, 0.02
0.737373737374, 1.0, 0.0208
0.747474747475, 1.0, 0.0206
0.757575757576, 1.0, 0.0202
0.767676767677, 1.0, 0.0208
0.777777777778, 1.0, 0.0196
0.787878787879, 1.0, 0.0229
0.79797979798, 1.0, 0.0211
0.808080808081, 1.0, 0.0181
0.818181818182, 1.0, 0.021
0.828282828283, 1.0, 0.0219
0.838383838384, 1.0, 0.0218
0.848484848485, 1.0, 0.0214
0.858585858586, 1.0, 0.0196
0.868686868687, 1.0, 0.0194
0.878787878788, 1.0, 0.0194
0.888888888889, 1.0, 0.0204
0.89898989899, 1.0, 0.0206
0.909090909091, 1.0, 0.0223
0.919191919192, 1.0, 0.0212
0.929292929293, 1.0, 0.0211
0.939393939394, 1.0, 0.0191
0.949494949495, 1.0, 0.022
0.959595959596, 1.0, 0.0226
0.969696969697, 1.0, 0.021
0.979797979798, 1.0, 0.02
0.989898989899, 1.0, 0.0215
1.0, 1.0, 0.0198
