threshold, compression, accuracy
0.0, 0.0, 0.9913
0.105263157895, 0.1394, 0.9917
0.210526315789, 0.2372, 0.9875
0.315789473684, 0.3542, 0.9443
0.421052631579, 0.4886, 0.8573
0.526315789474, 0.5972, 0.7725
0.631578947368, 0.6594, 0.6658
0.736842105263, 0.7, 0.6035
0.842105263158, 0.8, 0.4235
0.947368421053, 0.9, 0.3397
1.05263157895, 0.95, 0.2056
1.15789473684, 1.0, 0.1135
1.26315789474, 1.0, 0.1135
1.36842105263, 1.0, 0.1135
1.47368421053, 1.0, 0.1135
1.57894736842, 1.0, 0.1004
1.68421052632, 1.0, 0.1135
1.78947368421, 1.0, 0.0947
1.89473684211, 1.0, 0.0988
2.0, 1.0, 0.1135
