threshold, compression, accuracy
0.0, 0.0, 0.9913
0.105263157895, 0.5394, 0.9917
0.210526315789, 0.8372, 0.9875
0.315789473684, 0.9542, 0.9443
0.421052631579, 0.9886, 0.3573
0.526315789474, 0.9972, 0.1725
0.631578947368, 0.9994, 0.1658
0.736842105263, 1.0, 0.1135
0.842105263158, 1.0, 0.1135
0.947368421053, 1.0, 0.1135
1.05263157895, 1.0, 0.1135
1.15789473684, 1.0, 0.1135
1.26315789474, 1.0, 0.1135
1.36842105263, 1.0, 0.1135
1.47368421053, 1.0, 0.1135
1.57894736842, 1.0, 0.1135
1.68421052632, 1.0, 0.1135
1.78947368421, 1.0, 0.1135
1.89473684211, 1.0, 0.1135
2.0, 1.0, 0.1135
